新北市八里區大崁里,3
新北市八里區米倉里,1
新北市八里區長坑里,2
新北市八里區荖阡里,1
新北市八里區訊塘里,1
新北市八里區頂罟里,1
新北市八里區龍源里,3
新北市八里區舊城里,2
新北市三芝區八賢里,1
新北市三芝區埔坪里,3
新北市三芝區埔頭里,2
新北市三芝區圓山里,1
新北市三芝區橫山里,1
新北市三芝區興華里,1
新北市三重區二重里,2
新北市三重區大有里,1
新北市三重區中興里,1
新北市三重區五谷里,1
新北市三重區六福里,1
新北市三重區正義里,1
新北市三重區永盛里,2
新北市三重區永福里,1
新北市三重區永德里,1
新北市三重區立德里,3
新北市三重區光明里,2
新北市三重區光輝里,1
新北市三重區同安里,1
新北市三重區谷王里,1
新北市三重區奕壽里,3
新北市三重區重陽里,2
新北市三重區培德里,1
新北市三重區富貴里,3
新北市三重區富福里,1
新北市三重區菜寮里,1
新北市三重區過田里,1
新北市三重區福田里,1
新北市三重區福安里,1
新北市三重區錦田里,1
新北市三重區雙園里,1
新北市三峽區大埔里,2
新北市三峽區中正里,1
新北市三峽區中埔里,1
新北市三峽區五寮里,1
新北市三峽區介壽里,1
新北市三峽區永館里,2
新北市三峽區安坑里,1
新北市三峽區安溪里,1
新北市三峽區成福里,1
新北市三峽區有木里,1
新北市三峽區竹崙里,1
新北市三峽區插角里,1
新北市三峽區溪東里,1
新北市三峽區嘉添里,2
新北市三峽區鳶山里,1
新北市三峽區龍埔里,2
新北市三峽區龍學里,1
新北市土城區中正里,1
新北市土城區日和里,1
新北市土城區日新里,1
新北市土城區永富里,1
新北市土城區永寧里,2
新北市土城區安和里,1
新北市土城區廷寮里,1
新北市土城區沛陂里,1
新北市土城區青山里,2
新北市土城區青雲里,2
新北市土城區員仁里,1
新北市土城區員林里,1
新北市土城區祖田里,1
新北市土城區埤塘里,2
新北市土城區清化里,1
新北市土城區清和里,2
新北市土城區清溪里,1
新北市土城區頂埔里,1
新北市土城區頂福里,1
新北市土城區廣福里,3
新北市土城區學府里,1
新北市中和區中安里,1
新北市中和區中原里,1
新北市中和區中興里,1
新北市中和區文元里,1
新北市中和區外南里,1
新北市中和區安平里,1
新北市中和區安樂里,1
新北市中和區自強里,1
新北市中和區秀山里,1
新北市中和區宜安里,1
新北市中和區忠孝里,2
新北市中和區明穗里,1
新北市中和區枋寮里,2
新北市中和區景南里,1
新北市中和區華新里,2
新北市中和區嘉新里,1
新北市中和區嘉慶里,1
新北市中和區壽南里,1
新北市中和區漳和里,2
新北市中和區福美里,1
新北市中和區廟美里,1
新北市中和區錦中里,3
新北市五股區五股里,3
新北市五股區水碓里,1
新北市五股區成功里,1
新北市五股區成州里,2
新北市五股區成泰里,1
新北市五股區成德里,1
新北市五股區更寮里,1
新北市五股區德音里,1
新北市五股區興珍里,1
新北市五股區觀音里,1
新北市平溪區十分里,2
新北市平溪區平湖里,1
新北市平溪區平溪里,1
新北市平溪區白石里,1
新北市平溪區石底里,2
新北市平溪區菁桐里,2
新北市平溪區嶺腳里,1
新北市平溪區薯榔里,1
新北市永和區上林里,1
新北市永和區下溪里,1
新北市永和區文化里,1
新北市永和區民族里,1
新北市永和區民權里,1
新北市永和區永貞里,1
新北市永和區秀和里,2
新北市永和區保安里,3
新北市永和區得和里,1
新北市永和區頂溪里,1
新北市永和區復興里,1
新北市永和區智光里,1
新北市永和區新廍里,1
新北市永和區潭墘里,1
新北市永和區勵行里,1
新北市石門區山溪里,1
新北市石門區石門里,3
新北市石門區尖鹿里,3
新北市石門區老梅里,2
新北市石門區茂林里,2
新北市石門區草里里,1
新北市石門區富基里,1
新北市石碇區永定里,1
新北市石碇區石碇里,1
新北市石碇區格頭里,1
新北市石碇區彭山里,1
新北市石碇區隆盛里,2
新北市石碇區潭邊里,1
新北市石碇區豐林里,1
新北市汐止區中興里,1
新北市汐止區文化里,1
新北市汐止區北峰里,1
新北市汐止區自強里,1
新北市汐止區秀山里,1
新北市汐止區秀峰里,3
新北市汐止區忠山里,1
新北市汐止區忠孝里,1
新北市汐止區東山里,1
新北市汐止區長安里,1
新北市汐止區長青里,1
新北市汐止區保安里,1
新北市汐止區保長里,1
新北市汐止區保新里,1
新北市汐止區厚德里,2
新北市汐止區拱北里,1
新北市汐止區茄苳里,1
新北市汐止區崇德里,1
新北市汐止區康福里,1
新北市汐止區智慧里,1
新北市汐止區福山里,1
新北市汐止區橫科里,1
新北市汐止區禮門里,1
新北市坪林區上德里,2
新北市坪林區大林里,2
新北市坪林區石里,1
新北市坪林區坪林里,3
新北市坪林區漁光里,1
新北市板橋區中山里,1
新北市板橋區中正里,1
新北市板橋區五權里,2
新北市板橋區文化里,1
新北市板橋區光仁里,1
新北市板橋區幸福里,1
新北市板橋區東丘里,1
新北市板橋區社後里,1
新北市板橋區柏翠里,1
新北市板橋區重慶里,1
新北市板橋區香社里,1
新北市板橋區浮洲里,3
新北市板橋區國光里,1
新北市板橋區國泰里,1
新北市板橋區堂春里,1
新北市板橋區崑崙里,1
新北市板橋區深丘里,3
新北市板橋區莊敬里,1
